tag_id,subloc_sequence,loc_code,detection_counts,dwell_times
989.001038863948,"[1.0, 0.0, 1.0, 0.0]","['7C', '7B', '7A', '7B']","[1, 105, 139, 16]","[0.0, 6939.18, 483716.8, 415.85]"
989.001038863992,"[0.0, 1.0, 0.0, 1.0, 0.0]","['7D', '7C', '7B', '7A', '71']","[1, 1, 1, 1, 8]","[0.0, 0.0, 0.0, 0.0, 92788.06]"
989.001038864006,"[0.0, 1.0, 0.0, 1.0]","['7D', '7C', '7B', '7A']","[1, 2, 92, 4]","[0.0, 2824.0, 2053.7, 0.0]"
989.001038864031,"[1.0, 0.0]","['7C', '71']","[1, 26]","[0.0, 2304246.73]"
989.001038864035,"[0.0, 1.0, 0.0, 1.0]","['7D', '7C', '7B', '7A']","[1, 1, 48, 32]","[0.0, 0.0, 1541.01, 952.36]"
989.001038864036,"[1.0, 0.0, 1.0]","['7C', '7B', '7A']","[1, 14, 6]","[0.0, 546.95, 8942.88]"
989.00103886404,"[0.0, 1.0, 0.0, 1.0]","['7D', '7C', '7B', '7A']","[1, 1, 3, 6]","[0.0, 0.0, 0.0, 4653.29]"
989.00103886405,"[0.0, 1.0, 0.0, 1.0]","['7D', '7C', '7B', '7A']","[2, 1, 98, 35]","[1279.0, 0.0, 1219.09, 218.29]"
989.001038864054,"[0.0, 1.0, 0.0, 1.0]","['7D', '7C', '7B', '7A']","[1, 1, 80, 5]","[0.0, 0.0, 894.0, 0.0]"
989.001038864066,"[0.0, 0.0, 1.0]","['7D', '7B', '7A']","[1, 21, 3]","[0.0, 762.93, 0.0]"
989.001038864086,"[0.0, 1.0, 0.0, 1.0]","['7D', '7C', '7B', '7A']","[1, 1, 8, 21]","[0.0, 0.0, 0.0, 6237.04]"
989.0010388641,"[0.0, 0.0, 0.0, 1.0]","['7D', '702', '7B', '7A']","[1, 12, 18, 2]","[0.0, 0.0, 2013.03, 0.0]"
