tag_id_long,species,source,tag_date,updated_stock
989.001006677033,coho,river,2022-05-31,Englishman
989.001006677035,coho,river,2022-05-27,Englishman
989.001006677037,coho,river,2022-05-27,Englishman
989.001006677038,coho,river,2022-05-27,Englishman
989.001006677040,coho,river,2022-05-27,Englishman
989.001006677043,coho,river,2022-05-27,Englishman
989.001006677046,coho,river,2022-05-31,Englishman
989.001006677048,coho,river,2022-05-31,Englishman
989.001006677053,coho,river,2022-05-27,Englishman
989.001006677054,coho,river,2022-05-31,Englishman
989.001006677062,coho,river,2022-05-31,Englishman
989.001006677065,coho,river,2022-05-27,Englishman
989.001006677072,coho,river,2022-05-16,Englishman
989.001006677075,coho,river,2022-05-16,Englishman
989.001006677084,coho,river,2022-05-16,Englishman
989.001006677085,coho,river,2022-05-16,Englishman
989.001006677098,coho,river,2022-05-16,Englishman
989.001006677110,coho,river,2022-05-16,Englishman
989.001006677114,coho,river,2022-05-16,Englishman
989.001006677116,coho,river,2022-05-16,Englishman
989.001006677119,coho,river,2022-05-16,Englishman
989.001006677121,coho,river,2022-05-16,Englishman
989.001006677133,coho,river,2022-05-16,Englishman
989.001006677136,coho,river,2022-05-16,Englishman
989.001006677145,coho,river,2022-05-16,Englishman
989.001006677151,coho,river,2022-05-16,Englishman
989.001006677164,coho,river,2022-05-16,Englishman
989.001006677166,coho,river,2022-05-16,Englishman
989.001006677579,coho,microtroll,2020-09-17,Chemainus_R
989.001006677596,coho,microtroll,2020-09-17,Chemainus_R
989.001006678076,coho,river,2022-05-20,Englishman
989.001006678087,coho,river,2022-05-20,Englishman
989.001006678088,coho,river,2022-05-20,Englishman
989.001006678091,coho,river,2022-05-20,Englishman
989.001006678097,coho,river,2022-05-20,Englishman
989.001006678100,coho,river,2022-05-20,Englishman
989.001006678105,coho,river,2022-05-20,Englishman
989.001006678114,coho,river,2022-05-16,Englishman
989.001006678118,coho,river,2022-05-20,Englishman
989.001006678127,coho,river,2022-05-16,Englishman
989.001006678139,coho,river,2022-05-20,Englishman
989.001006678145,coho,river,2022-05-16,Englishman
989.001006678151,coho,river,2022-05-18,Englishman
989.001006678153,coho,river,2022-05-16,Englishman
989.001006678159,coho,river,2022-05-18,Englishman
989.001006678164,coho,river,2022-05-16,Englishman
989.001006678314,chinook,hatch_tag,2021-05-05,Cowichan
989.001006678532,chinook,microtroll,2020-09-04,Cowichan
989.001006678562,coho,microtroll,2020-09-10,Puntledge
989.001006678563,chinook,microtroll,2020-09-10,Cowichan
989.001030605066,chinook,hatch_tag,2021-05-05,Cowichan
989.001030608631,chinook,microtroll,2020-10-07,Puntledge fall
989.001033389242,coho,hatch_tag,2022-10-05,millstone
989.001033389254,coho,hatch_tag,2022-10-05,millstone
989.001033389589,chinook,microtroll,2020-09-10,Cowichan
989.001034043886,chinook,hatch_tag,2021-05-05,Cowichan
989.001034043902,chinook,hatch_tag,2021-05-05,Cowichan
989.001034043979,chinook,hatch_tag,2021-05-05,Cowichan
989.001034044080,chinook,hatch_tag,2021-05-05,Cowichan
989.001034044150,chinook,hatch_tag,2021-05-05,Cowichan
989.001034044161,chinook,hatch_tag,2021-05-05,Cowichan
989.001034044232,chinook,hatch_tag,2021-05-05,Cowichan
989.001034044239,chinook,hatch_tag,2021-05-05,Cowichan
989.001034044255,chinook,hatch_tag,2021-05-05,Cowichan
989.001034044646,chinook,hatch_tag,2021-05-05,Cowichan
989.001034044706,chinook,hatch_tag,2021-05-05,Cowichan
989.001034044857,chinook,hatch_tag,2021-05-05,Cowichan
989.001034044932,chinook,hatch_tag,2021-05-05,Cowichan
989.001034044971,chinook,hatch_tag,2021-05-05,Cowichan
989.001034044979,chinook,hatch_tag,2021-05-05,Cowichan
989.001034044981,chinook,hatch_tag,2021-05-05,Cowichan
989.001034045166,chinook,hatch_tag,2021-05-05,Cowichan
989.001034045206,chinook,hatch_tag,2021-05-05,Cowichan
989.001034045209,chinook,hatch_tag,2021-05-05,Cowichan
989.001034045282,chinook,hatch_tag,2021-05-05,Cowichan
989.001034045320,chinook,hatch_tag,2021-05-05,Cowichan
989.001034045376,chinook,hatch_tag,2021-05-05,Cowichan
989.001034045388,chinook,hatch_tag,2021-05-05,Cowichan
989.001034045409,chinook,hatch_tag,2021-05-05,Cowichan
989.001034045412,chinook,hatch_tag,2021-05-05,Cowichan
989.001034045437,chinook,hatch_tag,2021-05-05,Cowichan
989.001034045581,chinook,hatch_tag,2021-05-05,Cowichan
989.001034045644,chinook,hatch_tag,2021-05-05,Cowichan
989.001034045787,chinook,hatch_tag,2021-05-05,Cowichan
989.001034045806,chinook,hatch_tag,2021-05-05,Cowichan
989.001034045858,chinook,hatch_tag,2021-05-05,Cowichan
989.001034045959,chinook,hatch_tag,2021-05-05,Cowichan
989.001034045990,chinook,hatch_tag,2021-05-05,Cowichan
989.001034045996,chinook,hatch_tag,2021-05-05,Cowichan
989.001034046144,chinook,hatch_tag,2021-05-05,Cowichan
989.001034046179,chinook,hatch_tag,2021-05-05,Cowichan
989.001034046286,chinook,hatch_tag,2021-05-05,Cowichan
989.001034046289,chinook,hatch_tag,2021-05-05,Cowichan
989.001034046346,chinook,hatch_tag,2021-05-05,Cowichan
989.001034046350,chinook,hatch_tag,2021-05-05,Cowichan
989.001034046384,chinook,hatch_tag,2021-05-05,Cowichan
989.001034046519,chinook,hatch_tag,2021-05-05,Cowichan
989.001034046681,chinook,hatch_tag,2021-05-05,Cowichan
989.001034046774,chinook,hatch_tag,2021-05-05,Cowichan
989.001034164291,steelhead,hatch_tag,2021-01-20,robertson creek
989.001034164293,steelhead,hatch_tag,2021-01-20,robertson creek
989.001034164664,steelhead,hatch_tag,2021-01-20,robertson creek
989.001034164704,steelhead,hatch_tag,2021-01-20,robertson creek
989.001034164738,steelhead,hatch_tag,2021-01-20,robertson creek
