tag_id,count,in_cleaning_table
989.001042005365,57907,no
989.001042003717,41310,no
989.001039616143,24108,no
989.002028424843,22197,no
989.001041641484,19128,no
989.001039410013,18623,no
989.001038900741,15202,no
989.002027651949,12507,no
989.002028407486,11561,no
989.001039393588,8709,no
989.001038861637,8526,no
989.001039382710,7775,no
989.001006676104,7763,no
989.001038863665,7153,no
989.001039385698,6907,no
989.001039379548,6840,no
989.001042004849,6457,no
989.001038874447,6361,no
989.002027654594,6356,no
989.002027684453,6273,no
989.001042809971,6126,no
989.001045734953,6023,no
989.001040934167,5593,no
989.001039390578,5152,no
989.001045732497,4914,no
989.001041641467,4827,no
989.001045733214,4727,no
989.001039391093,4440,no
989.001034172207,3806,no
989.001041759064,3687,no
989.001041641491,3675,no
989.001041747569,3518,no
989.001040932698,3475,no
989.001042742754,3124,no
989.001039387064,3096,no
989.001038860320,2614,no
989.001041641386,2464,no
989.001039388584,2291,no
989.001041728922,2190,no
989.001006608926,2116,no
989.001006676804,1864,no
989.001045733565,1797,no
989.001045663043,1764,no
989.001040080453,1756,no
989.001041731902,1756,no
989.001042811450,1731,no
989.001045836858,1463,no
989.002028427512,1443,no
989.001045152781,1392,no
989.001041749590,1376,no
989.001042043859,1318,no
989.002028405913,1283,no
989.001038867104,1255,no
989.001041730257,1229,no
989.001040932055,1178,no
989.001045734330,1141,no
989.001038886923,1123,no
989.002028407448,1123,no
989.001042811669,1103,no
989.001042811400,1017,no
989.001042811481,991,no
989.002028426056,975,no
989.002028429399,966,no
989.001042048849,959,no
989.001038862216,958,no
989.001041995459,952,no
989.001041751117,925,no
989.001045735194,921,no
989.001041726636,910,no
989.001042811421,899,no
989.002028406500,888,no
989.001042042768,872,no
989.001040052182,826,no
989.001039388491,810,no
989.001041727086,801,no
989.001040866115,798,no
989.001039736201,791,no
989.001041722729,779,no
989.002028429453,779,no
989.001041727976,777,no
989.001042811449,773,no
989.001041749300,773,no
989.001006677828,766,no
989.001038746284,722,no
989.001038887857,701,no
989.001040932742,699,no
989.001045843131,696,no
989.002028404822,682,no
989.002026847939,679,no
989.001042809237,664,no
989.001041641361,654,no
989.001041728830,650,no
989.001039405503,648,no
989.001038862946,643,no
989.001045735216,636,no
989.001045732890,630,no
989.001042809955,624,no
989.002028415902,615,no
989.001040932683,602,no
989.001041750042,597,no
989.001041750176,588,no
989.002028408970,583,no
989.001041641352,576,no
956.000005411728,572,no
989.001041743820,566,no
989.001039735809,564,no
989.001041731342,561,no
989.002028407975,556,no
989.001006606300,552,no
989.0010066063,552,no
989.001038863887,551,no
989.001040914165,547,no
989.001040916085,547,no
989.002028419832,541,no
989.001044938379,512,no
989.001041729639,499,no
989.001042809735,498,no
989.001039737243,481,no
989.001045732461,480,no
989.002027660346,479,no
989.001041725843,473,no
989.001038892832,471,no
989.001040932662,468,no
989.001041725871,463,no
982.000411528325,463,no
989.001040513140,461,no
989.001040512185,456,no
989.001038888354,448,no
989.002028407836,445,no
989.001045734949,438,no
989.002028405421,434,no
989.001040917299,433,no
989.001042043873,433,no
989.002027656597,433,no
989.001040514004,432,no
989.001040080463,429,no
989.001041749539,423,no
989.001039607210,421,no
989.001045732238,421,no
989.001045719488,417,no
989.001040932031,413,no
989.002028406836,410,no
989.001040510619,405,no
989.001045842828,404,no
989.001040515931,389,no
989.001042811245,387,no
989.002027658543,386,no
989.001042042778,383,no
989.001040914014,377,no
989.001041749409,377,no
989.002028427966,375,no
989.001040515954,373,no
989.001038863705,373,no
989.001040917545,373,no
989.002028417456,370,no
989.001045734168,368,no
989.001040511247,367,no
989.002028408367,367,no
989.002027656554,367,no
989.002028429148,360,no
989.001041730679,359,no
982.000411528342,358,no
989.002027659433,357,no
989.002028426062,353,no
989.001045157699,351,no
989.002027683550,349,no
989.001045723659,348,no
989.001039732554,347,no
989.001045731410,345,no
