tag_id,subloc_sequence,detection_counts,dwell_times,similarity_score,similarity(in_days)
989.001041731298,"[0.01, 1.0, 0.01, 0.01, 1.0, 1.0, 0.01, 1.0, 0.01, 1.0, 0.01, 1.0, 0.01, 0.01, 1.0, 0.01, 1.0, 0.01, 1.0, 0.01, 1.0, 0.01, 1.0, 0.01, 0.01, 0.01, 0.01, 1.0, 1.0, 0.01, 0.01, 0.01, 1.0]","[2, 2, 5, 5, 5, 2, 2, 1, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 3, 3, 3]","[0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 91515.63, 6114.24, 4610.26, 0.01, 176.54, 88.08, 519.35, 5811.97, 99.84, 105.82, 525.86, 15574.65, 2352.37, 683.73, 0.01, 0.01, 229.65, 378.49, 599.76, 1054.9, 96.52, 782.92, 6578.93, 0.01, 0.01]",6006.30287333334,0.069517394367284
989.001038869045,[1.0],[14],[84004.67],6000.33357142857,0.0694483052248677
989.001038735443,"[1.0, 1.0, 0.01]","[32, 104, 8]","[85727.4, 340739.66, 0.01]",5955.32414711538,0.0689273628138355
989.00104093454,"[0.01, 1.0, 0.01, 1.0, 0.01]","[22, 44, 69, 9, 3]","[0.01, 309.45, 40673534.06, 430.77, 0.01]",5949.611406917,0.0688612431356134
989.001042509794,"[1.0, 0.01, 1.0]","[1, 1, 4]","[0.01, 0.01, 23782.01]",5945.5126,0.0688138032407407
989.00104200291,"[1.0, 0.01, 1.0, 0.01, 1.0]","[8, 4, 52, 4, 4]","[6152.01, 0.01, 268522.6, 0.01, 0.01]",5932.89995384615,0.068667823539886
989.001034167647,"[1.0, 0.01, 1.0, 0.01]","[125, 35, 15, 5]","[739875.87, 329.87, 175.03, 0.01]",5930.7698952381,0.0686431700837743
989.001041731947,"[0.01, 1.0, 0.01, 1.0, 0.01, 1.0, 0.01, 1.0, 0.01, 1.0]","[4, 34, 2, 10, 4, 2, 120, 4, 32, 22]","[7161.16, 18821.33, 0.01, 1715.87, 837.15, 0.01, 235322.9, 318.25, 267596.63, 108467.26]",5858.28304295343,0.0678042018860351
989.001042001822,"[1.0, 0.01, 1.0]","[56, 8, 4]","[325360.83, 813.66, 0.01]",5811.03439642857,0.0672573425512566
989.002027696959,"[1.0, 0.01, 1.0, 0.01, 1.0, 0.01, 1.0, 0.01]","[4, 8, 8, 8, 12, 8, 8, 4]","[0.01, 18779.86, 12140.33, 5206.89, 50717.48, 28712.7, 6.43, 0.01]",5810.67850416667,0.0672532234278549
989.0010409186,"[0.01, 1.0, 0.01, 1.0, 0.01, 1.0, 0.01, 0.01, 0.01, 1.0, 0.01]","[3, 3, 6, 15, 6, 4, 4, 8, 8, 3, 9]","[0.01, 0.01, 599.16, 86990.2, 440.07, 0.01, 0.01, 574.22, 467.25, 0.01, 2765.43]",5805.46247916667,0.0671928527681327
989.001038891595,"[1.0, 0.01, 1.0]","[22, 2, 1]","[127597.62, 0.01, 0.01]",5799.90186818182,0.067128493844697
989.001034167958,"[1.0, 1.0]","[12, 150]","[0.01, 861889.93]",5745.9337,0.0665038622685185
989.001045156971,[0.01],[4],[2297092.63],5742.731575,0.0664668006365741
989.001040933856,"[1.0, 0.01, 1.0, 0.01, 1.0, 0.01, 1.0, 0.01]","[72, 4, 456, 8, 36, 12, 28, 8]","[176308.17, 0.01, 532181.75, 285.62, 7770.42, 334.97, 53389.67, 48.33]",5739.1053572995,0.0664248305242998
989.001041737222,"[1.0, 0.01]","[3, 6]","[0.01, 3409654.59]",5682.76098333333,0.065772696566358
989.001041757946,"[1.0, 0.01, 1.0, 0.01]","[3, 3, 9, 3]","[0.01, 0.01, 51085.02, 0.01]",5676.11673333333,0.0656957955246914
